Catégorie : Toutes catégories

Semaine,Charlie Rose: (États-Unis)
2022-11-06,70
2022-11-13,72
2022-11-20,76
2022-11-27,65
2022-12-04,80
2022-12-11,76
2022-12-18,85
2022-12-25,93
2023-01-01,100
2023-01-08,74
2023-01-15,81
2023-01-22,85
2023-01-29,81
2023-02-05,74
2023-02-12,72
2023-02-19,86
2023-02-26,88
2023-03-05,77
2023-03-12,100
2023-03-19,77
2023-03-26,81
2023-04-02,78
2023-04-09,73
2023-04-16,65
2023-04-23,77
2023-04-30,79
2023-05-07,73
2023-05-14,78
2023-05-21,65
2023-05-28,67
2023-06-04,69
2023-06-11,85
2023-06-18,65
2023-06-25,67
2023-07-02,74
2023-07-09,66
2023-07-16,77
2023-07-23,90
2023-07-30,58
2023-08-06,67
2023-08-13,68
2023-08-20,74
2023-08-27,86
2023-09-03,70
2023-09-10,83
2023-09-17,59
2023-09-24,66
2023-10-01,75
2023-10-08,77
2023-10-15,59
2023-10-22,72
2023-10-29,69
