Catégorie : Toutes catégories

Semaine,Charlie Rowe: (États-Unis)
2022-11-13,27
2022-11-20,0
2022-11-27,0
2022-12-04,14
2022-12-11,0
2022-12-18,38
2022-12-25,32
2023-01-01,44
2023-01-08,24
2023-01-15,31
2023-01-22,0
2023-01-29,21
2023-02-05,0
2023-02-12,31
2023-02-19,34
2023-02-26,40
2023-03-05,26
2023-03-12,27
2023-03-19,20
2023-03-26,39
2023-04-02,31
2023-04-09,28
2023-04-16,29
2023-04-23,23
2023-04-30,88
2023-05-07,95
2023-05-14,100
2023-05-21,25
2023-05-28,50
2023-06-04,40
2023-06-11,0
2023-06-18,25
2023-06-25,19
2023-07-02,20
2023-07-09,65
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,44
2023-08-13,46
2023-08-20,27
2023-08-27,14
2023-09-03,14
2023-09-10,34
2023-09-17,63
2023-09-24,15
2023-10-01,0
2023-10-08,16
2023-10-15,18
2023-10-22,63
2023-10-29,0
2023-11-05,31
