Catégorie : Toutes catégories

Semaine,Dale Earnhardt Jr.: (États-Unis)
2022-11-20,51
2022-11-27,29
2022-12-04,21
2022-12-11,10
2022-12-18,26
2022-12-25,37
2023-01-01,31
2023-01-08,23
2023-01-15,41
2023-01-22,12
2023-01-29,28
2023-02-05,44
2023-02-12,48
2023-02-19,100
2023-02-26,44
2023-03-05,21
2023-03-12,34
2023-03-19,76
2023-03-26,42
2023-04-02,19
2023-04-09,50
2023-04-16,33
2023-04-23,36
2023-04-30,51
2023-05-07,32
2023-05-14,14
2023-05-21,14
2023-05-28,29
2023-06-04,34
2023-06-11,31
2023-06-18,12
2023-06-25,27
2023-07-02,53
2023-07-09,58
2023-07-16,46
2023-07-23,74
2023-07-30,56
2023-08-06,90
2023-08-13,54
2023-08-20,24
2023-08-27,71
2023-09-03,37
2023-09-10,75
2023-09-17,53
2023-09-24,36
2023-10-01,29
2023-10-08,43
2023-10-15,46
2023-10-22,38
2023-10-29,32
2023-11-05,10
2023-11-12,0
