Catégorie : Toutes catégories

Semaine,Damion Poitier: (États-Unis)
2022-11-13,0
2022-11-20,0
2022-11-27,49
2022-12-04,53
2022-12-11,78
2022-12-18,28
2022-12-25,0
2023-01-01,15
2023-01-08,0
2023-01-15,0
2023-01-22,15
2023-01-29,20
2023-02-05,20
2023-02-12,9
2023-02-19,24
2023-02-26,39
2023-03-05,46
2023-03-12,54
2023-03-19,100
2023-03-26,43
2023-04-02,14
2023-04-09,48
2023-04-16,18
2023-04-23,10
2023-04-30,0
2023-05-07,36
2023-05-14,0
2023-05-21,0
2023-05-28,33
2023-06-04,12
2023-06-11,16
2023-06-18,0
2023-06-25,34
2023-07-02,15
2023-07-09,20
2023-07-16,0
2023-07-23,19
2023-07-30,23
2023-08-06,15
2023-08-13,16
2023-08-20,0
2023-08-27,10
2023-09-03,0
2023-09-10,17
2023-09-17,14
2023-09-24,29
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,13
