Catégorie : Toutes catégories

Semaine,Debbie Stabenow: (États-Unis)
2022-11-06,2
2022-11-13,6
2022-11-20,4
2022-11-27,5
2022-12-04,6
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,100
2023-01-08,13
2023-01-15,25
2023-01-22,4
2023-01-29,5
2023-02-05,5
2023-02-12,4
2023-02-19,2
2023-02-26,10
2023-03-05,6
2023-03-12,3
2023-03-19,5
2023-03-26,4
2023-04-02,3
2023-04-09,4
2023-04-16,6
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,3
2023-05-21,5
2023-05-28,2
2023-06-04,3
2023-06-11,5
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,7
2023-07-16,3
2023-07-23,5
2023-07-30,4
2023-08-06,1
2023-08-13,2
2023-08-20,3
2023-08-27,1
2023-09-03,3
2023-09-10,6
2023-09-17,3
2023-09-24,11
2023-10-01,5
2023-10-08,4
2023-10-15,6
2023-10-22,6
2023-10-29,0
