Catégorie : Toutes catégories

Semaine,Don Lynch: (États-Unis)
2022-11-06,100
2022-11-13,29
2022-11-20,0
2022-11-27,0
2022-12-04,22
2022-12-11,0
2022-12-18,25
2022-12-25,14
2023-01-01,0
2023-01-08,30
2023-01-15,10
2023-01-22,38
2023-01-29,11
2023-02-05,62
2023-02-12,0
2023-02-19,20
2023-02-26,50
2023-03-05,42
2023-03-12,32
2023-03-19,0
2023-03-26,20
2023-04-02,21
2023-04-09,21
2023-04-16,27
2023-04-23,30
2023-04-30,0
2023-05-07,16
2023-05-14,13
2023-05-21,0
2023-05-28,12
2023-06-04,16
2023-06-11,30
2023-06-18,42
2023-06-25,41
2023-07-02,14
2023-07-09,0
2023-07-16,0
2023-07-23,42
2023-07-30,0
2023-08-06,0
2023-08-13,20
2023-08-20,50
2023-08-27,0
2023-09-03,59
2023-09-10,21
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,16
2023-10-15,21
2023-10-22,17
2023-10-29,0
