Catégorie : Toutes catégories

Semaine,John DiMaggio: (États-Unis)
2022-11-13,41
2022-11-20,37
2022-11-27,54
2022-12-04,41
2022-12-11,28
2022-12-18,42
2022-12-25,33
2023-01-01,50
2023-01-08,37
2023-01-15,29
2023-01-22,37
2023-01-29,28
2023-02-05,37
2023-02-12,30
2023-02-19,32
2023-02-26,29
2023-03-05,26
2023-03-12,39
2023-03-19,37
2023-03-26,33
2023-04-02,32
2023-04-09,31
2023-04-16,32
2023-04-23,33
2023-04-30,38
2023-05-07,30
2023-05-14,61
2023-05-21,51
2023-05-28,31
2023-06-04,39
2023-06-11,65
2023-06-18,42
2023-06-25,58
2023-07-02,46
2023-07-09,48
2023-07-16,82
2023-07-23,100
2023-07-30,75
2023-08-06,65
2023-08-13,46
2023-08-20,55
2023-08-27,52
2023-09-03,62
2023-09-10,51
2023-09-17,53
2023-09-24,53
2023-10-01,50
2023-10-08,54
2023-10-15,44
2023-10-22,35
2023-10-29,28
2023-11-05,28
