Catégorie : Toutes catégories

Semaine,Julia Roberts: (États-Unis)
2022-11-13,65
2022-11-20,74
2022-11-27,62
2022-12-04,61
2022-12-11,100
2022-12-18,72
2022-12-25,83
2023-01-01,68
2023-01-08,68
2023-01-15,57
2023-01-22,45
2023-01-29,46
2023-02-05,47
2023-02-12,40
2023-02-19,38
2023-02-26,36
2023-03-05,32
2023-03-12,39
2023-03-19,33
2023-03-26,32
2023-04-02,31
2023-04-09,35
2023-04-16,37
2023-04-23,36
2023-04-30,33
2023-05-07,29
2023-05-14,30
2023-05-21,32
2023-05-28,35
2023-06-04,25
2023-06-11,27
2023-06-18,28
2023-06-25,29
2023-07-02,39
2023-07-09,28
2023-07-16,26
2023-07-23,30
2023-07-30,29
2023-08-06,26
2023-08-13,26
2023-08-20,23
2023-08-27,23
2023-09-03,27
2023-09-10,22
2023-09-17,23
2023-09-24,21
2023-10-01,25
2023-10-08,27
2023-10-15,30
2023-10-22,29
2023-10-29,54
2023-11-05,38
