Catégorie : Toutes catégories

Semaine,Kevin Spacey: (États-Unis)
2022-11-06,13
2022-11-13,22
2022-11-20,12
2022-11-27,12
2022-12-04,10
2022-12-11,12
2022-12-18,12
2022-12-25,14
2023-01-01,11
2023-01-08,12
2023-01-15,12
2023-01-22,11
2023-01-29,11
2023-02-05,11
2023-02-12,9
2023-02-19,11
2023-02-26,9
2023-03-05,9
2023-03-12,10
2023-03-19,11
2023-03-26,10
2023-04-02,10
2023-04-09,13
2023-04-16,13
2023-04-23,10
2023-04-30,10
2023-05-07,10
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,9
2023-06-11,12
2023-06-18,11
2023-06-25,44
2023-07-02,17
2023-07-09,21
2023-07-16,17
2023-07-23,100
2023-07-30,16
2023-08-06,13
2023-08-13,12
2023-08-20,10
2023-08-27,11
2023-09-03,10
2023-09-10,9
2023-09-17,11
2023-09-24,10
2023-10-01,16
2023-10-08,10
2023-10-15,13
2023-10-22,10
2023-10-29,9
