Catégorie : Toutes catégories

Semaine,Larry David: (États-Unis)
2022-11-13,100
2022-11-20,68
2022-11-27,62
2022-12-04,59
2022-12-11,67
2022-12-18,62
2022-12-25,60
2023-01-01,63
2023-01-08,59
2023-01-15,53
2023-01-22,59
2023-01-29,56
2023-02-05,64
2023-02-12,53
2023-02-19,59
2023-02-26,57
2023-03-05,53
2023-03-12,54
2023-03-19,51
2023-03-26,60
2023-04-02,56
2023-04-09,52
2023-04-16,50
2023-04-23,68
2023-04-30,50
2023-05-07,52
2023-05-14,60
2023-05-21,60
2023-05-28,62
2023-06-04,59
2023-06-11,68
2023-06-18,57
2023-06-25,56
2023-07-02,76
2023-07-09,69
2023-07-16,65
2023-07-23,69
2023-07-30,66
2023-08-06,63
2023-08-13,65
2023-08-20,49
2023-08-27,56
2023-09-03,53
2023-09-10,55
2023-09-17,69
2023-09-24,57
2023-10-01,58
2023-10-08,64
2023-10-15,61
2023-10-22,59
2023-10-29,67
2023-11-05,64
