Catégorie : Toutes catégories

Semaine,Paul Rudd: (États-Unis)
2022-11-20,24
2022-11-27,21
2022-12-04,18
2022-12-11,19
2022-12-18,24
2022-12-25,25
2023-01-01,24
2023-01-08,35
2023-01-15,31
2023-01-22,27
2023-01-29,36
2023-02-05,44
2023-02-12,100
2023-02-19,73
2023-02-26,43
2023-03-05,34
2023-03-12,28
2023-03-19,25
2023-03-26,28
2023-04-02,27
2023-04-09,31
2023-04-16,26
2023-04-23,26
2023-04-30,20
2023-05-07,18
2023-05-14,23
2023-05-21,26
2023-05-28,26
2023-06-04,24
2023-06-11,21
2023-06-18,23
2023-06-25,25
2023-07-02,25
2023-07-09,24
2023-07-16,26
2023-07-23,23
2023-07-30,25
2023-08-06,35
2023-08-13,30
2023-08-20,26
2023-08-27,29
2023-09-03,25
2023-09-10,24
2023-09-17,22
2023-09-24,23
2023-10-01,27
2023-10-08,24
2023-10-15,21
2023-10-22,18
2023-10-29,24
2023-11-05,24
