Catégorie : Toutes catégories

Semaine,Sam Worthington: (États-Unis)
2022-11-06,9
2022-11-13,8
2022-11-20,16
2022-11-27,27
2022-12-04,18
2022-12-11,56
2022-12-18,100
2022-12-25,100
2023-01-01,65
2023-01-08,43
2023-01-15,32
2023-01-22,27
2023-01-29,18
2023-02-05,15
2023-02-12,10
2023-02-19,11
2023-02-26,9
2023-03-05,11
2023-03-12,8
2023-03-19,7
2023-03-26,11
2023-04-02,15
2023-04-09,10
2023-04-16,10
2023-04-23,8
2023-04-30,9
2023-05-07,9
2023-05-14,8
2023-05-21,8
2023-05-28,9
2023-06-04,18
2023-06-11,25
2023-06-18,16
2023-06-25,11
2023-07-02,13
2023-07-09,9
2023-07-16,13
2023-07-23,14
2023-07-30,10
2023-08-06,10
2023-08-13,7
2023-08-20,7
2023-08-27,11
2023-09-03,12
2023-09-10,9
2023-09-17,5
2023-09-24,6
2023-10-01,8
2023-10-08,6
2023-10-15,4
2023-10-22,5
