Catégorie : Toutes catégories

Semaine,Taylor Swift: (États-Unis)
2022-11-13,100
2022-11-20,35
2022-11-27,19
2022-12-04,17
2022-12-11,17
2022-12-18,14
2022-12-25,17
2023-01-01,15
2023-01-08,14
2023-01-15,13
2023-01-22,16
2023-01-29,15
2023-02-05,23
2023-02-12,15
2023-02-19,13
2023-02-26,14
2023-03-05,14
2023-03-12,34
2023-03-19,44
2023-03-26,35
2023-04-02,35
2023-04-09,52
2023-04-16,38
2023-04-23,40
2023-04-30,44
2023-05-07,58
2023-05-14,55
2023-05-21,54
2023-05-28,57
2023-06-04,49
2023-06-11,42
2023-06-18,41
2023-06-25,45
2023-07-02,63
2023-07-09,53
2023-07-16,40
2023-07-23,45
2023-07-30,60
2023-08-06,76
2023-08-13,42
2023-08-20,32
2023-08-27,38
2023-09-03,33
2023-09-10,44
2023-09-17,80
2023-09-24,97
2023-10-01,75
2023-10-08,86
2023-10-15,81
2023-10-22,86
2023-10-29,63
2023-11-05,51
