Catégorie : Toutes catégories

Semaine,Thomas Kretschmann: (États-Unis)
2022-11-06,24
2022-11-13,0
2022-11-20,30
2022-11-27,18
2022-12-04,0
2022-12-11,13
2022-12-18,0
2022-12-25,0
2023-01-01,22
2023-01-08,15
2023-01-15,39
2023-01-22,41
2023-01-29,16
2023-02-05,0
2023-02-12,38
2023-02-19,0
2023-02-26,10
2023-03-05,15
2023-03-12,16
2023-03-19,22
2023-03-26,54
2023-04-02,29
2023-04-09,14
2023-04-16,22
2023-04-23,17
2023-04-30,26
2023-05-07,9
2023-05-14,18
2023-05-21,22
2023-05-28,18
2023-06-04,0
2023-06-11,23
2023-06-18,19
2023-06-25,17
2023-07-02,14
2023-07-09,21
2023-07-16,14
2023-07-23,10
2023-07-30,10
2023-08-06,10
2023-08-13,20
2023-08-20,0
2023-08-27,39
2023-09-03,14
2023-09-10,35
2023-09-17,28
2023-09-24,0
2023-10-01,0
2023-10-08,9
2023-10-15,0
2023-10-22,20
2023-10-29,100
