Semaine,Value
2023-11-05,77
2023-10-29,30
2023-10-22,36
2023-10-15,27
2023-10-08,40
2023-10-01,32
2023-09-24,31
2023-09-17,46
2023-09-10,30
2023-09-03,17
2023-08-27,0
2023-08-20,28
2023-08-13,16
2023-08-06,24
2023-07-30,13
2023-07-23,20
2023-07-16,22
2023-07-09,18
2023-07-02,22
2023-06-25,33
2023-06-18,35
2023-06-11,19
2023-06-04,27
2023-05-28,29
2023-05-21,28
2023-05-14,22
2023-05-07,33
2023-04-30,8
2023-04-23,29
2023-04-16,16
2023-04-09,41
2023-04-02,74
2023-03-26,52
2023-03-19,53
2023-03-12,100
2023-03-05,25
2023-02-26,24
2023-02-19,28
2023-02-12,26
2023-02-05,38
2023-01-29,9
2023-01-22,17
2023-01-15,21
2023-01-08,19
2023-01-01,37
2022-12-25,53
2022-12-18,51
2022-12-11,39
2022-12-04,51
2022-11-27,35
2022-11-20,47
2022-11-13,17
