Semaine,Value
2023-11-05,87
2023-10-29,0
2023-10-22,22
2023-10-15,44
2023-10-08,0
2023-10-01,0
2023-09-24,0
2023-09-17,0
2023-09-10,100
2023-09-03,46
2023-08-27,17
2023-08-20,29
2023-08-13,0
2023-08-06,0
2023-07-30,0
2023-07-23,0
2023-07-16,0
2023-07-09,0
2023-07-02,0
2023-06-25,0
2023-06-18,0
2023-06-11,46
2023-06-04,21
2023-05-28,0
2023-05-21,0
2023-05-14,0
2023-05-07,15
2023-04-30,0
2023-04-23,12
2023-04-16,20
2023-04-09,0
2023-04-02,17
2023-03-26,0
2023-03-19,11
2023-03-12,31
2023-03-05,0
2023-02-26,0
2023-02-19,17
2023-02-12,29
2023-02-05,13
2023-01-29,15
2023-01-22,0
2023-01-15,0
2023-01-08,0
2023-01-01,71
2022-12-25,0
2022-12-18,12
2022-12-11,16
2022-12-04,0
2022-11-27,0
2022-11-20,21
2022-11-13,43
