Semaine,Value
2023-11-05,0
2023-10-29,9
2023-10-22,8
2023-10-15,8
2023-10-08,11
2023-10-01,7
2023-09-24,12
2023-09-17,6
2023-09-10,9
2023-09-03,9
2023-08-27,14
2023-08-20,13
2023-08-13,23
2023-08-06,11
2023-07-30,17
2023-07-23,17
2023-07-16,20
2023-07-09,22
2023-07-02,23
2023-06-25,23
2023-06-18,17
2023-06-11,9
2023-06-04,15
2023-05-28,19
2023-05-21,29
2023-05-14,100
2023-05-07,6
2023-04-30,4
2023-04-23,8
2023-04-16,9
2023-04-09,2
2023-04-02,7
2023-03-26,3
2023-03-19,0
2023-03-12,3
2023-03-05,0
2023-02-26,5
2023-02-19,3
2023-02-12,0
2023-02-05,9
2023-01-29,4
2023-01-22,5
2023-01-15,4
2023-01-08,5
2023-01-01,7
2022-12-25,7
2022-12-18,8
2022-12-11,0
2022-12-04,6
2022-11-27,7
2022-11-20,5
2022-11-13,9
