Semaine,Value
2023-10-29,55
2023-10-22,36
2023-10-15,42
2023-10-08,51
2023-10-01,58
2023-09-24,47
2023-09-17,76
2023-09-10,59
2023-09-03,93
2023-08-27,82
2023-08-20,63
2023-08-13,83
2023-08-06,62
2023-07-30,50
2023-07-23,62
2023-07-16,71
2023-07-09,75
2023-07-02,81
2023-06-25,85
2023-06-18,69
2023-06-11,72
2023-06-04,93
2023-05-28,70
2023-05-21,70
2023-05-14,73
2023-05-07,65
2023-04-30,74
2023-04-23,84
2023-04-16,74
2023-04-09,83
2023-04-02,68
2023-03-26,96
2023-03-19,96
2023-03-12,67
2023-03-05,69
2023-02-26,63
2023-02-19,74
2023-02-12,65
2023-02-05,70
2023-01-29,100
2023-01-22,81
2023-01-15,62
2023-01-08,55
2023-01-01,53
2022-12-25,64
2022-12-18,47
2022-12-11,48
2022-12-04,41
2022-11-27,49
2022-11-20,73
2022-11-13,56
