Semaine,Value
2023-11-05,27
2023-10-29,69
2023-10-22,56
2023-10-15,100
2023-10-08,50
2023-10-01,40
2023-09-24,36
2023-09-17,40
2023-09-10,47
2023-09-03,34
2023-08-27,37
2023-08-20,28
2023-08-13,40
2023-08-06,36
2023-07-30,40
2023-07-23,48
2023-07-16,35
2023-07-09,69
2023-07-02,47
2023-06-25,40
2023-06-18,30
2023-06-11,28
2023-06-04,31
2023-05-28,67
2023-05-21,44
2023-05-14,30
2023-05-07,35
2023-04-30,36
2023-04-23,40
2023-04-16,27
2023-04-09,38
2023-04-02,30
2023-03-26,31
2023-03-19,36
2023-03-12,29
2023-03-05,21
2023-02-26,26
2023-02-19,30
2023-02-12,36
2023-02-05,31
2023-01-29,25
2023-01-22,31
2023-01-15,25
2023-01-08,29
2023-01-01,24
2022-12-25,30
2022-12-18,56
2022-12-11,26
2022-12-04,29
2022-11-27,23
2022-11-20,26
2022-11-13,22
