Semaine,Value
2023-10-29,0
2023-10-22,18
2023-10-15,69
2023-10-08,57
2023-10-01,43
2023-09-24,27
2023-09-17,84
2023-09-10,56
2023-09-03,62
2023-08-27,54
2023-08-20,100
2023-08-13,77
2023-08-06,43
2023-07-30,39
2023-07-23,50
2023-07-16,64
2023-07-09,55
2023-07-02,57
2023-06-25,39
2023-06-18,18
2023-06-11,33
2023-06-04,0
2023-05-28,16
2023-05-21,35
2023-05-14,60
2023-05-07,43
2023-04-30,0
2023-04-23,47
2023-04-16,34
2023-04-09,47
2023-04-02,34
2023-03-26,35
2023-03-19,77
2023-03-12,0
2023-03-05,40
2023-02-26,41
2023-02-19,33
2023-02-12,35
2023-02-05,48
2023-01-29,0
2023-01-22,65
2023-01-15,73
2023-01-08,36
2023-01-01,64
2022-12-25,28
2022-12-18,50
2022-12-11,0
2022-12-04,42
2022-11-27,36
2022-11-20,38
2022-11-13,0
2022-11-06,27
