Semaine,Value
2023-11-05,21
2023-10-29,10
2023-10-22,9
2023-10-15,8
2023-10-08,7
2023-10-01,6
2023-09-24,8
2023-09-17,15
2023-09-10,15
2023-09-03,28
2023-08-27,16
2023-08-20,8
2023-08-13,10
2023-08-06,8
2023-07-30,11
2023-07-23,13
2023-07-16,22
2023-07-09,15
2023-07-02,15
2023-06-25,10
2023-06-18,10
2023-06-11,17
2023-06-04,9
2023-05-28,9
2023-05-21,9
2023-05-14,9
2023-05-07,8
2023-04-30,10
2023-04-23,15
2023-04-16,17
2023-04-09,34
2023-04-02,100
2023-03-26,36
2023-03-19,10
2023-03-12,7
2023-03-05,6
2023-02-26,7
2023-02-19,7
2023-02-12,7
2023-02-05,7
2023-01-29,8
2023-01-22,12
2023-01-15,10
2023-01-08,8
2023-01-01,11
2022-12-25,9
2022-12-18,7
2022-12-11,7
2022-12-04,10
2022-11-27,6
2022-11-20,7
2022-11-13,5
