Semaine,Value
2023-10-29,56
2023-10-22,61
2023-10-15,41
2023-10-08,44
2023-10-01,53
2023-09-24,39
2023-09-17,37
2023-09-10,43
2023-09-03,62
2023-08-27,58
2023-08-20,74
2023-08-13,57
2023-08-06,64
2023-07-30,52
2023-07-23,55
2023-07-16,80
2023-07-09,72
2023-07-02,82
2023-06-25,61
2023-06-18,72
2023-06-11,72
2023-06-04,70
2023-05-28,68
2023-05-21,43
2023-05-14,42
2023-05-07,50
2023-04-30,51
2023-04-23,51
2023-04-16,38
2023-04-09,35
2023-04-02,51
2023-03-26,40
2023-03-19,45
2023-03-12,86
2023-03-05,37
2023-02-26,58
2023-02-19,44
2023-02-12,46
2023-02-05,52
2023-01-29,51
2023-01-22,57
2023-01-15,75
2023-01-08,100
2023-01-01,55
2022-12-25,54
2022-12-18,51
2022-12-11,48
2022-12-04,45
2022-11-27,54
2022-11-20,81
2022-11-13,82
