Semaine,Value
2023-11-05,82
2023-10-29,72
2023-10-22,84
2023-10-15,71
2023-10-08,71
2023-10-01,73
2023-09-24,42
2023-09-17,92
2023-09-10,59
2023-09-03,70
2023-08-27,88
2023-08-20,66
2023-08-13,60
2023-08-06,87
2023-07-30,61
2023-07-23,90
2023-07-16,100
2023-07-09,66
2023-07-02,61
2023-06-25,60
2023-06-18,78
2023-06-11,68
2023-06-04,96
2023-05-28,71
2023-05-21,85
2023-05-14,90
2023-05-07,78
2023-04-30,88
2023-04-23,96
2023-04-16,72
2023-04-09,75
2023-04-02,94
2023-03-26,99
2023-03-19,100
2023-03-12,100
2023-03-05,64
2023-02-26,64
2023-02-19,73
2023-02-12,87
2023-02-05,90
2023-01-29,76
2023-01-22,91
2023-01-15,90
2023-01-08,86
2023-01-01,84
2022-12-25,91
2022-12-18,71
2022-12-11,81
2022-12-04,69
2022-11-27,80
2022-11-20,45
2022-11-13,77
