Semaine,Value
2023-10-22,94
2023-10-15,72
2023-10-08,71
2023-10-01,76
2023-09-24,72
2023-09-17,87
2023-09-10,75
2023-09-03,82
2023-08-27,69
2023-08-20,90
2023-08-13,68
2023-08-06,64
2023-07-30,57
2023-07-23,55
2023-07-16,70
2023-07-09,78
2023-07-02,59
2023-06-25,66
2023-06-18,62
2023-06-11,75
2023-06-04,59
2023-05-28,61
2023-05-21,58
2023-05-14,65
2023-05-07,70
2023-04-30,67
2023-04-23,63
2023-04-16,65
2023-04-09,67
2023-04-02,55
2023-03-26,66
2023-03-19,74
2023-03-12,82
2023-03-05,73
2023-02-26,80
2023-02-19,61
2023-02-12,74
2023-02-05,75
2023-01-29,63
2023-01-22,100
2023-01-15,66
2023-01-08,81
2023-01-01,91
2022-12-25,81
2022-12-18,66
2022-12-11,94
2022-12-04,93
2022-11-27,96
2022-11-20,66
2022-11-13,85
2022-11-06,86
