Semaine,Value
2023-10-29,0
2023-10-22,73
2023-10-15,20
2023-10-08,52
2023-10-01,46
2023-09-24,44
2023-09-17,24
2023-09-10,20
2023-09-03,36
2023-08-27,39
2023-08-20,91
2023-08-13,50
2023-08-06,0
2023-07-30,75
2023-07-23,62
2023-07-16,61
2023-07-09,97
2023-07-02,71
2023-06-25,58
2023-06-18,69
2023-06-11,42
2023-06-04,67
2023-05-28,55
2023-05-21,76
2023-05-14,54
2023-05-07,34
2023-04-30,47
2023-04-23,0
2023-04-16,44
2023-04-09,31
2023-04-02,27
2023-03-26,77
2023-03-19,41
2023-03-12,47
2023-03-05,62
2023-02-26,92
2023-02-19,28
2023-02-12,22
2023-02-05,100
2023-01-29,61
2023-01-22,64
2023-01-15,51
2023-01-08,76
2023-01-01,25
2022-12-25,0
2022-12-18,41
2022-12-11,43
2022-12-04,33
2022-11-27,35
2022-11-20,25
2022-11-13,50
2022-11-06,51
