Semaine,Value
2023-11-05,42
2023-10-29,35
2023-10-22,35
2023-10-15,37
2023-10-08,39
2023-10-01,38
2023-09-24,30
2023-09-17,33
2023-09-10,33
2023-09-03,35
2023-08-27,28
2023-08-20,38
2023-08-13,31
2023-08-06,35
2023-07-30,31
2023-07-23,59
2023-07-16,39
2023-07-09,41
2023-07-02,37
2023-06-25,35
2023-06-18,33
2023-06-11,33
2023-06-04,29
2023-05-28,26
2023-05-21,35
2023-05-14,32
2023-05-07,29
2023-04-30,33
2023-04-23,33
2023-04-16,40
2023-04-09,37
2023-04-02,39
2023-03-26,46
2023-03-19,54
2023-03-12,87
2023-03-05,100
2023-02-26,60
2023-02-19,76
2023-02-12,52
2023-02-05,77
2023-01-29,43
2023-01-22,43
2023-01-15,47
2023-01-08,46
2023-01-01,62
2022-12-25,70
2022-12-18,40
2022-12-11,25
2022-12-04,33
2022-11-27,28
2022-11-20,36
2022-11-13,48
