Semaine,Value
2023-11-05,30
2023-10-29,28
2023-10-22,28
2023-10-15,30
2023-10-08,31
2023-10-01,37
2023-09-24,32
2023-09-17,35
2023-09-10,31
2023-09-03,32
2023-08-27,33
2023-08-20,33
2023-08-13,30
2023-08-06,30
2023-07-30,27
2023-07-23,37
2023-07-16,32
2023-07-09,30
2023-07-02,36
2023-06-25,28
2023-06-18,25
2023-06-11,25
2023-06-04,27
2023-05-28,33
2023-05-21,34
2023-05-14,38
2023-05-07,34
2023-04-30,100
2023-04-23,32
2023-04-16,27
2023-04-09,31
2023-04-02,33
2023-03-26,28
2023-03-19,31
2023-03-12,31
2023-03-05,31
2023-02-26,30
2023-02-19,30
2023-02-12,29
2023-02-05,31
2023-01-29,36
2023-01-22,48
2023-01-15,25
2023-01-08,31
2023-01-01,30
2022-12-25,28
2022-12-18,27
2022-12-11,26
2022-12-04,30
2022-11-27,30
2022-11-20,37
2022-11-13,38
