Semaine,Value
2023-10-29,0
2023-10-22,0
2023-10-15,22
2023-10-08,25
2023-10-01,0
2023-09-24,41
2023-09-17,29
2023-09-10,0
2023-09-03,0
2023-08-27,0
2023-08-20,85
2023-08-13,85
2023-08-06,75
2023-07-30,43
2023-07-23,69
2023-07-16,40
2023-07-09,0
2023-07-02,0
2023-06-25,57
2023-06-18,57
2023-06-11,0
2023-06-04,0
2023-05-28,32
2023-05-21,100
2023-05-14,0
2023-05-07,0
2023-04-30,62
2023-04-23,0
2023-04-16,37
2023-04-09,31
2023-04-02,0
2023-03-26,59
2023-03-19,60
2023-03-12,38
2023-03-05,52
2023-02-26,56
2023-02-19,72
2023-02-12,28
2023-02-05,26
2023-01-29,52
2023-01-22,0
2023-01-15,20
2023-01-08,82
2023-01-01,100
2022-12-25,84
2022-12-18,0
2022-12-11,35
2022-12-04,0
2022-11-27,0
2022-11-20,45
2022-11-13,40
2022-11-06,39
