Semaine,Value
2023-11-05,99
2023-10-29,24
2023-10-22,24
2023-10-15,32
2023-10-08,36
2023-10-01,32
2023-09-24,28
2023-09-17,46
2023-09-10,5
2023-09-03,32
2023-08-27,43
2023-08-20,33
2023-08-13,55
2023-08-06,41
2023-07-30,32
2023-07-23,31
2023-07-16,59
2023-07-09,35
2023-07-02,21
2023-06-25,35
2023-06-18,49
2023-06-11,70
2023-06-04,74
2023-05-28,50
2023-05-21,66
2023-05-14,58
2023-05-07,71
2023-04-30,48
2023-04-23,59
2023-04-16,100
2023-04-09,41
2023-04-02,50
2023-03-26,35
2023-03-19,26
2023-03-12,40
2023-03-05,28
2023-02-26,41
2023-02-19,57
2023-02-12,45
2023-02-05,34
2023-01-29,48
2023-01-22,38
2023-01-15,38
2023-01-08,52
2023-01-01,29
2022-12-25,34
2022-12-18,42
2022-12-11,31
2022-12-04,29
2022-11-27,19
2022-11-20,40
2022-11-13,31
