Semaine,Value
2023-10-29,14
2023-10-22,6
2023-10-15,4
2023-10-08,3
2023-10-01,4
2023-09-24,2
2023-09-17,7
2023-09-10,0
2023-09-03,3
2023-08-27,3
2023-08-20,5
2023-08-13,4
2023-08-06,6
2023-07-30,6
2023-07-23,12
2023-07-16,12
2023-07-09,87
2023-07-02,10
2023-06-25,7
2023-06-18,8
2023-06-11,14
2023-06-04,22
2023-05-28,44
2023-05-21,100
2023-05-14,7
2023-05-07,3
2023-04-30,0
2023-04-23,0
2023-04-16,0
2023-04-09,0
2023-04-02,0
2023-03-26,3
2023-03-19,6
2023-03-12,5
2023-03-05,4
2023-02-26,5
2023-02-19,0
2023-02-12,2
2023-02-05,6
2023-01-29,0
2023-01-22,0
2023-01-15,2
2023-01-08,8
2023-01-01,3
2022-12-25,4
2022-12-18,0
2022-12-11,0
2022-12-04,2
2022-11-27,3
2022-11-20,4
2022-11-13,0
2022-11-06,3
