Semaine,Value
2023-10-29,34
2023-10-22,20
2023-10-15,21
2023-10-08,14
2023-10-01,17
2023-09-24,23
2023-09-17,28
2023-09-10,25
2023-09-03,36
2023-08-27,35
2023-08-20,46
2023-08-13,31
2023-08-06,25
2023-07-30,37
2023-07-23,63
2023-07-16,59
2023-07-09,84
2023-07-02,92
2023-06-25,88
2023-06-18,100
2023-06-11,36
2023-06-04,35
2023-05-28,27
2023-05-21,22
2023-05-14,27
2023-05-07,22
2023-04-30,17
2023-04-23,26
2023-04-16,35
2023-04-09,25
2023-04-02,30
2023-03-26,23
2023-03-19,23
2023-03-12,22
2023-03-05,21
2023-02-26,13
2023-02-19,17
2023-02-12,12
2023-02-05,24
2023-01-29,15
2023-01-22,22
2023-01-15,22
2023-01-08,28
2023-01-01,24
2022-12-25,20
2022-12-18,19
2022-12-11,22
2022-12-04,24
2022-11-27,22
2022-11-20,13
2022-11-13,13
2022-11-06,20
