Semaine,Value
2023-11-05,39
2023-10-29,37
2023-10-22,37
2023-10-15,38
2023-10-08,37
2023-10-01,38
2023-09-24,38
2023-09-17,41
2023-09-10,36
2023-09-03,42
2023-08-27,38
2023-08-20,40
2023-08-13,38
2023-08-06,40
2023-07-30,44
2023-07-23,42
2023-07-16,40
2023-07-09,47
2023-07-02,41
2023-06-25,38
2023-06-18,39
2023-06-11,53
2023-06-04,40
2023-05-28,44
2023-05-21,39
2023-05-14,49
2023-05-07,40
2023-04-30,51
2023-04-23,55
2023-04-16,44
2023-04-09,45
2023-04-02,46
2023-03-26,52
2023-03-19,48
2023-03-12,48
2023-03-05,58
2023-02-26,54
2023-02-19,77
2023-02-12,81
2023-02-05,56
2023-01-29,56
2023-01-22,59
2023-01-15,58
2023-01-08,72
2023-01-01,72
2022-12-25,94
2022-12-18,100
2022-12-11,69
2022-12-04,48
2022-11-27,64
2022-11-20,39
2022-11-13,41
