Semaine,Value
2023-10-29,39
2023-10-22,43
2023-10-15,63
2023-10-08,64
2023-10-01,52
2023-09-24,32
2023-09-17,38
2023-09-10,30
2023-09-03,49
2023-08-27,48
2023-08-20,57
2023-08-13,82
2023-08-06,91
2023-07-30,79
2023-07-23,45
2023-07-16,35
2023-07-09,58
2023-07-02,55
2023-06-25,25
2023-06-18,37
2023-06-11,24
2023-06-04,33
2023-05-28,20
2023-05-21,44
2023-05-14,71
2023-05-07,27
2023-04-30,44
2023-04-23,28
2023-04-16,27
2023-04-09,30
2023-04-02,41
2023-03-26,30
2023-03-19,55
2023-03-12,67
2023-03-05,100
2023-02-26,52
2023-02-19,49
2023-02-12,66
2023-02-05,31
2023-01-29,69
2023-01-22,83
2023-01-15,51
2023-01-08,26
2023-01-01,73
2022-12-25,95
2022-12-18,69
2022-12-11,65
2022-12-04,36
2022-11-27,44
2022-11-20,43
2022-11-13,23
2022-11-06,14
