Semaine,Value
2023-11-05,35
2023-10-29,23
2023-10-22,27
2023-10-15,15
2023-10-08,24
2023-10-01,44
2023-09-24,100
2023-09-17,55
2023-09-10,37
2023-09-03,25
2023-08-27,29
2023-08-20,20
2023-08-13,24
2023-08-06,21
2023-07-30,26
2023-07-23,53
2023-07-16,63
2023-07-09,46
2023-07-02,53
2023-06-25,38
2023-06-18,21
2023-06-11,27
2023-06-04,14
2023-05-28,25
2023-05-21,22
2023-05-14,51
2023-05-07,26
2023-04-30,14
2023-04-23,30
2023-04-16,24
2023-04-09,32
2023-04-02,16
2023-03-26,18
2023-03-19,29
2023-03-12,24
2023-03-05,22
2023-02-26,17
2023-02-19,31
2023-02-12,34
2023-02-05,10
2023-01-29,26
2023-01-22,28
2023-01-15,35
2023-01-08,17
2023-01-01,34
2022-12-25,24
2022-12-18,37
2022-12-11,40
2022-12-04,33
2022-11-27,59
2022-11-20,18
2022-11-13,13
