Semaine,Value
2023-11-05,7
2023-10-29,7
2023-10-22,8
2023-10-15,7
2023-10-08,7
2023-10-01,7
2023-09-24,7
2023-09-17,6
2023-09-10,8
2023-09-03,7
2023-08-27,7
2023-08-20,7
2023-08-13,7
2023-08-06,7
2023-07-30,7
2023-07-23,8
2023-07-16,6
2023-07-09,7
2023-07-02,8
2023-06-25,8
2023-06-18,8
2023-06-11,7
2023-06-04,7
2023-05-28,8
2023-05-21,8
2023-05-14,7
2023-05-07,7
2023-04-30,8
2023-04-23,8
2023-04-16,7
2023-04-09,8
2023-04-02,7
2023-03-26,9
2023-03-19,7
2023-03-12,9
2023-03-05,8
2023-02-26,9
2023-02-19,11
2023-02-12,13
2023-02-05,10
2023-01-29,10
2023-01-22,10
2023-01-15,9
2023-01-08,11
2023-01-01,100
2022-12-25,85
2022-12-18,12
2022-12-11,9
2022-12-04,9
2022-11-27,13
2022-11-20,11
2022-11-13,9
