Semaine,Value
2023-11-05,69
2023-10-29,46
2023-10-22,33
2023-10-15,71
2023-10-08,38
2023-10-01,31
2023-09-24,81
2023-09-17,100
2023-09-10,44
2023-09-03,75
2023-08-27,70
2023-08-20,55
2023-08-13,49
2023-08-06,60
2023-07-30,69
2023-07-23,64
2023-07-16,49
2023-07-09,62
2023-07-02,66
2023-06-25,64
2023-06-18,75
2023-06-11,75
2023-06-04,65
2023-05-28,64
2023-05-21,68
2023-05-14,83
2023-05-07,65
2023-04-30,41
2023-04-23,75
2023-04-16,58
2023-04-09,69
2023-04-02,60
2023-03-26,50
2023-03-19,56
2023-03-12,72
2023-03-05,84
2023-02-26,51
2023-02-19,52
2023-02-12,47
2023-02-05,46
2023-01-29,61
2023-01-22,64
2023-01-15,70
2023-01-08,63
2023-01-01,53
2022-12-25,63
2022-12-18,85
2022-12-11,61
2022-12-04,51
2022-11-27,62
2022-11-20,62
2022-11-13,46
