Semaine,Value
2023-11-05,8
2023-10-29,8
2023-10-22,42
2023-10-15,57
2023-10-08,100
2023-10-01,24
2023-09-24,20
2023-09-17,9
2023-09-10,11
2023-09-03,13
2023-08-27,24
2023-08-20,19
2023-08-13,10
2023-08-06,16
2023-07-30,11
2023-07-23,12
2023-07-16,21
2023-07-09,13
2023-07-02,17
2023-06-25,14
2023-06-18,11
2023-06-11,12
2023-06-04,10
2023-05-28,10
2023-05-21,11
2023-05-14,19
2023-05-07,12
2023-04-30,23
2023-04-23,9
2023-04-16,10
2023-04-09,12
2023-04-02,16
2023-03-26,14
2023-03-19,10
2023-03-12,6
2023-03-05,7
2023-02-26,6
2023-02-19,5
2023-02-12,6
2023-02-05,4
2023-01-29,5
2023-01-22,4
2023-01-15,3
2023-01-08,4
2023-01-01,4
2022-12-25,4
2022-12-18,5
2022-12-11,5
2022-12-04,9
2022-11-27,5
2022-11-20,9
