Semaine,Value
2023-11-05,30
2023-10-29,35
2023-10-22,27
2023-10-15,42
2023-10-08,31
2023-10-01,17
2023-09-24,30
2023-09-17,23
2023-09-10,41
2023-09-03,36
2023-08-27,26
2023-08-20,23
2023-08-13,17
2023-08-06,44
2023-07-30,29
2023-07-23,33
2023-07-16,35
2023-07-09,33
2023-07-02,42
2023-06-25,16
2023-06-18,24
2023-06-11,40
2023-06-04,23
2023-05-28,24
2023-05-21,18
2023-05-14,36
2023-05-07,43
2023-04-30,41
2023-04-23,39
2023-04-16,21
2023-04-09,32
2023-04-02,31
2023-03-26,22
2023-03-19,30
2023-03-12,37
2023-03-05,29
2023-02-26,37
2023-02-19,36
2023-02-12,20
2023-02-05,36
2023-01-29,38
2023-01-22,50
2023-01-15,46
2023-01-08,42
2023-01-01,54
2022-12-25,47
2022-12-18,100
2022-12-11,89
2022-12-04,31
2022-11-27,5
2022-11-20,36
2022-11-13,25
