Semaine,Value
2023-11-05,40
2023-10-29,47
2023-10-22,52
2023-10-15,50
2023-10-08,70
2023-10-01,52
2023-09-24,64
2023-09-17,64
2023-09-10,60
2023-09-03,36
2023-08-27,50
2023-08-20,35
2023-08-13,44
2023-08-06,39
2023-07-30,43
2023-07-23,57
2023-07-16,46
2023-07-09,32
2023-07-02,22
2023-06-25,20
2023-06-18,15
2023-06-11,22
2023-06-04,16
2023-05-28,17
2023-05-21,26
2023-05-14,16
2023-05-07,12
2023-04-30,52
2023-04-23,97
2023-04-16,19
2023-04-09,100
2023-04-02,17
2023-03-26,25
2023-03-19,25
2023-03-12,33
2023-03-05,32
2023-02-26,39
2023-02-19,28
2023-02-12,21
2023-02-05,64
2023-01-29,60
2023-01-22,79
2023-01-15,58
2023-01-08,57
2023-01-01,63
2022-12-25,75
2022-12-18,56
2022-12-11,94
2022-12-04,58
2022-11-27,53
2022-11-20,50
2022-11-13,41
