Semaine,Value
2023-11-05,89
2023-10-29,34
2023-10-22,44
2023-10-15,20
2023-10-08,15
2023-10-01,31
2023-09-24,27
2023-09-17,0
2023-09-10,16
2023-09-03,32
2023-08-27,31
2023-08-20,32
2023-08-13,78
2023-08-06,100
2023-07-30,31
2023-07-23,43
2023-07-16,16
2023-07-09,43
2023-07-02,27
2023-06-25,22
2023-06-18,34
2023-06-11,59
2023-06-04,12
2023-05-28,54
2023-05-21,39
2023-05-14,20
2023-05-07,19
2023-04-30,0
2023-04-23,0
2023-04-16,13
2023-04-09,23
2023-04-02,58
2023-03-26,52
2023-03-19,24
2023-03-12,20
2023-03-05,10
2023-02-26,38
2023-02-19,28
2023-02-12,21
2023-02-05,0
2023-01-29,23
2023-01-22,0
2023-01-15,42
2023-01-08,18
2023-01-01,0
2022-12-25,23
2022-12-18,24
2022-12-11,0
2022-12-04,19
2022-11-27,0
2022-11-20,13
2022-11-13,18
