Semaine,Value
2023-10-29,0
2023-10-22,43
2023-10-15,35
2023-10-08,0
2023-10-01,36
2023-09-24,0
2023-09-17,0
2023-09-10,0
2023-09-03,0
2023-08-27,0
2023-08-20,0
2023-08-13,32
2023-08-06,48
2023-07-30,0
2023-07-23,0
2023-07-16,0
2023-07-09,0
2023-07-02,0
2023-06-25,100
2023-06-18,76
2023-06-11,0
2023-06-04,0
2023-05-28,34
2023-05-21,0
2023-05-14,0
2023-05-07,44
2023-04-30,54
2023-04-23,0
2023-04-16,37
2023-04-09,0
2023-04-02,0
2023-03-26,66
2023-03-19,38
2023-03-12,50
2023-03-05,48
2023-02-26,0
2023-02-19,0
2023-02-12,32
2023-02-05,45
2023-01-29,0
2023-01-22,43
2023-01-15,0
2023-01-08,0
2023-01-01,0
2022-12-25,43
2022-12-18,0
2022-12-11,0
2022-12-04,0
2022-11-27,35
2022-11-20,0
2022-11-13,0
2022-11-06,0
