Semaine,Value
2023-10-22,39
2023-10-15,33
2023-10-08,42
2023-10-01,52
2023-09-24,28
2023-09-17,0
2023-09-10,37
2023-09-03,21
2023-08-27,100
2023-08-20,42
2023-08-13,28
2023-08-06,54
2023-07-30,31
2023-07-23,0
2023-07-16,45
2023-07-09,42
2023-07-02,67
2023-06-25,0
2023-06-18,49
2023-06-11,41
2023-06-04,34
2023-05-28,46
2023-05-21,0
2023-05-14,55
2023-05-07,50
2023-04-30,36
2023-04-23,61
2023-04-16,38
2023-04-09,70
2023-04-02,50
2023-03-26,54
2023-03-19,47
2023-03-12,17
2023-03-05,18
2023-02-26,30
2023-02-19,48
2023-02-12,15
2023-02-05,22
2023-01-29,0
2023-01-22,55
2023-01-15,29
2023-01-08,23
2023-01-01,20
2022-12-25,0
2022-12-18,47
2022-12-11,0
2022-12-04,24
2022-11-27,20
2022-11-20,0
2022-11-13,36
2022-11-06,52
