Semaine,Value
2023-10-29,60
2023-10-22,79
2023-10-15,77
2023-10-08,61
2023-10-01,69
2023-09-24,66
2023-09-17,69
2023-09-10,77
2023-09-03,73
2023-08-27,62
2023-08-20,75
2023-08-13,67
2023-08-06,68
2023-07-30,70
2023-07-23,76
2023-07-16,71
2023-07-09,71
2023-07-02,55
2023-06-25,56
2023-06-18,67
2023-06-11,58
2023-06-04,74
2023-05-28,62
2023-05-21,68
2023-05-14,69
2023-05-07,69
2023-04-30,70
2023-04-23,65
2023-04-16,54
2023-04-09,66
2023-04-02,62
2023-03-26,62
2023-03-19,62
2023-03-12,67
2023-03-05,100
2023-02-26,60
2023-02-19,72
2023-02-12,62
2023-02-05,69
2023-01-29,74
2023-01-22,63
2023-01-15,77
2023-01-08,76
2023-01-01,60
2022-12-25,59
2022-12-18,54
2022-12-11,65
2022-12-04,83
2022-11-27,60
2022-11-20,69
2022-11-13,66
2022-11-06,84
