Semaine,Value
2023-10-29,64
2023-10-22,76
2023-10-15,73
2023-10-08,79
2023-10-01,73
2023-09-24,62
2023-09-17,68
2023-09-10,55
2023-09-03,71
2023-08-27,73
2023-08-20,60
2023-08-13,72
2023-08-06,74
2023-07-30,62
2023-07-23,86
2023-07-16,100
2023-07-09,100
2023-07-02,88
2023-06-25,79
2023-06-18,78
2023-06-11,67
2023-06-04,67
2023-05-28,55
2023-05-21,53
2023-05-14,57
2023-05-07,71
2023-04-30,59
2023-04-23,65
2023-04-16,59
2023-04-09,77
2023-04-02,86
2023-03-26,79
2023-03-19,75
2023-03-12,82
2023-03-05,59
2023-02-26,71
2023-02-19,66
2023-02-12,71
2023-02-05,77
2023-01-29,61
2023-01-22,79
2023-01-15,81
2023-01-08,71
2023-01-01,58
2022-12-25,69
2022-12-18,71
2022-12-11,77
2022-12-04,71
2022-11-27,76
2022-11-20,71
2022-11-13,57
2022-11-06,55
