Semaine,Value
2023-10-29,73
2023-10-22,28
2023-10-15,21
2023-10-08,27
2023-10-01,48
2023-09-24,19
2023-09-17,30
2023-09-10,23
2023-09-03,73
2023-08-27,50
2023-08-20,26
2023-08-13,13
2023-08-06,40
2023-07-30,15
2023-07-23,0
2023-07-16,25
2023-07-09,46
2023-07-02,23
2023-06-25,0
2023-06-18,22
2023-06-11,30
2023-06-04,22
2023-05-28,51
2023-05-21,11
2023-05-14,29
2023-05-07,21
2023-04-30,21
2023-04-23,25
2023-04-16,32
2023-04-09,54
2023-04-02,0
2023-03-26,38
2023-03-19,91
2023-03-12,32
2023-03-05,30
2023-02-26,16
2023-02-19,35
2023-02-12,20
2023-02-05,36
2023-01-29,60
2023-01-22,27
2023-01-15,41
2023-01-08,31
2023-01-01,89
2022-12-25,100
2022-12-18,45
2022-12-11,18
2022-12-04,0
2022-11-27,37
2022-11-20,68
2022-11-13,55
2022-11-06,48
