Semaine,Value
2023-10-29,18
2023-10-22,24
2023-10-15,24
2023-10-08,30
2023-10-01,19
2023-09-24,20
2023-09-17,27
2023-09-10,20
2023-09-03,29
2023-08-27,23
2023-08-20,24
2023-08-13,25
2023-08-06,36
2023-07-30,34
2023-07-23,38
2023-07-16,38
2023-07-09,42
2023-07-02,58
2023-06-25,100
2023-06-18,91
2023-06-11,24
2023-06-04,21
2023-05-28,28
2023-05-21,25
2023-05-14,22
2023-05-07,24
2023-04-30,19
2023-04-23,24
2023-04-16,28
2023-04-09,31
2023-04-02,40
2023-03-26,22
2023-03-19,25
2023-03-12,22
2023-03-05,24
2023-02-26,24
2023-02-19,30
2023-02-12,20
2023-02-05,30
2023-01-29,31
2023-01-22,26
2023-01-15,28
2023-01-08,31
2023-01-01,27
2022-12-25,38
2022-12-18,22
2022-12-11,24
2022-12-04,27
2022-11-27,18
2022-11-20,33
2022-11-13,23
2022-11-06,28
