Semaine,Value
2023-10-29,22
2023-10-22,27
2023-10-15,25
2023-10-08,37
2023-10-01,36
2023-09-24,41
2023-09-17,35
2023-09-10,21
2023-09-03,23
2023-08-27,28
2023-08-20,36
2023-08-13,40
2023-08-06,30
2023-07-30,44
2023-07-23,37
2023-07-16,40
2023-07-09,47
2023-07-02,52
2023-06-25,47
2023-06-18,43
2023-06-11,45
2023-06-04,60
2023-05-28,69
2023-05-21,56
2023-05-14,60
2023-05-07,89
2023-04-30,47
2023-04-23,35
2023-04-16,32
2023-04-09,41
2023-04-02,42
2023-03-26,36
2023-03-19,46
2023-03-12,58
2023-03-05,44
2023-02-26,34
2023-02-19,26
2023-02-12,26
2023-02-05,38
2023-01-29,44
2023-01-22,62
2023-01-15,75
2023-01-08,90
2023-01-01,100
2022-12-25,69
2022-12-18,56
2022-12-11,45
2022-12-04,39
2022-11-27,41
2022-11-20,57
2022-11-13,60
