Semaine,Value
2023-11-05,0
2023-10-29,18
2023-10-22,15
2023-10-15,38
2023-10-08,0
2023-10-01,0
2023-09-24,30
2023-09-17,50
2023-09-10,25
2023-09-03,0
2023-08-27,0
2023-08-20,18
2023-08-13,21
2023-08-06,33
2023-07-30,0
2023-07-23,48
2023-07-16,100
2023-07-09,22
2023-07-02,19
2023-06-25,23
2023-06-18,48
2023-06-11,0
2023-06-04,31
2023-05-28,24
2023-05-21,53
2023-05-14,0
2023-05-07,21
2023-04-30,18
2023-04-23,43
2023-04-16,0
2023-04-09,58
2023-04-02,14
2023-03-26,43
2023-03-19,24
2023-03-12,14
2023-03-05,23
2023-02-26,28
2023-02-19,0
2023-02-12,38
2023-02-05,79
2023-01-29,31
2023-01-22,98
2023-01-15,47
2023-01-08,24
2023-01-01,47
2022-12-25,28
2022-12-18,89
2022-12-11,13
2022-12-04,30
2022-11-27,25
2022-11-20,0
2022-11-13,30
