Semaine,Value
2023-10-29,63
2023-10-22,72
2023-10-15,63
2023-10-08,73
2023-10-01,78
2023-09-24,79
2023-09-17,64
2023-09-10,58
2023-09-03,48
2023-08-27,79
2023-08-20,100
2023-08-13,83
2023-08-06,65
2023-07-30,43
2023-07-23,56
2023-07-16,60
2023-07-09,54
2023-07-02,47
2023-06-25,53
2023-06-18,53
2023-06-11,72
2023-06-04,67
2023-05-28,70
2023-05-21,69
2023-05-14,68
2023-05-07,56
2023-04-30,56
2023-04-23,58
2023-04-16,61
2023-04-09,57
2023-04-02,66
2023-03-26,75
2023-03-19,72
2023-03-12,34
2023-03-05,42
2023-02-26,64
2023-02-19,43
2023-02-12,45
2023-02-05,56
2023-01-29,62
2023-01-22,65
2023-01-15,69
2023-01-08,41
2023-01-01,46
2022-12-25,39
2022-12-18,61
2022-12-11,72
2022-12-04,53
2022-11-27,58
2022-11-20,55
2022-11-13,69
