Semaine,Value
2023-11-05,13
2023-10-29,14
2023-10-22,13
2023-10-15,15
2023-10-08,17
2023-10-01,11
2023-09-24,11
2023-09-17,12
2023-09-10,11
2023-09-03,12
2023-08-27,12
2023-08-20,12
2023-08-13,14
2023-08-06,13
2023-07-30,10
2023-07-23,13
2023-07-16,12
2023-07-09,10
2023-07-02,10
2023-06-25,10
2023-06-18,12
2023-06-11,11
2023-06-04,16
2023-05-28,13
2023-05-21,15
2023-05-14,11
2023-05-07,16
2023-04-30,12
2023-04-23,13
2023-04-16,12
2023-04-09,15
2023-04-02,15
2023-03-26,33
2023-03-19,18
2023-03-12,15
2023-03-05,12
2023-02-26,14
2023-02-19,12
2023-02-12,13
2023-02-05,24
2023-01-29,20
2023-01-22,17
2023-01-15,22
2023-01-08,24
2023-01-01,39
2022-12-25,55
2022-12-18,73
2022-12-11,72
2022-12-04,100
2022-11-27,78
2022-11-20,99
2022-11-13,35
