Semaine,Value
2023-10-29,81
2023-10-22,74
2023-10-15,61
2023-10-08,42
2023-10-01,41
2023-09-24,46
2023-09-17,40
2023-09-10,47
2023-09-03,49
2023-08-27,50
2023-08-20,33
2023-08-13,32
2023-08-06,41
2023-07-30,43
2023-07-23,47
2023-07-16,44
2023-07-09,47
2023-07-02,54
2023-06-25,36
2023-06-18,32
2023-06-11,31
2023-06-04,34
2023-05-28,32
2023-05-21,27
2023-05-14,27
2023-05-07,30
2023-04-30,41
2023-04-23,79
2023-04-16,37
2023-04-09,52
2023-04-02,84
2023-03-26,100
2023-03-19,38
2023-03-12,31
2023-03-05,32
2023-02-26,43
2023-02-19,56
2023-02-12,47
2023-02-05,41
2023-01-29,34
2023-01-22,36
2023-01-15,41
2023-01-08,42
2023-01-01,50
2022-12-25,62
2022-12-18,46
2022-12-11,38
2022-12-04,41
2022-11-27,47
2022-11-20,65
2022-11-13,53
2022-11-06,93
