Semaine,Value
2023-10-29,53
2023-10-22,51
2023-10-15,49
2023-10-08,41
2023-10-01,64
2023-09-24,74
2023-09-17,81
2023-09-10,67
2023-09-03,90
2023-08-27,59
2023-08-20,77
2023-08-13,31
2023-08-06,61
2023-07-30,47
2023-07-23,25
2023-07-16,50
2023-07-09,68
2023-07-02,47
2023-06-25,48
2023-06-18,58
2023-06-11,39
2023-06-04,61
2023-05-28,57
2023-05-21,65
2023-05-14,63
2023-05-07,53
2023-04-30,58
2023-04-23,59
2023-04-16,57
2023-04-09,51
2023-04-02,46
2023-03-26,61
2023-03-19,76
2023-03-12,39
2023-03-05,42
2023-02-26,100
2023-02-19,87
2023-02-12,64
2023-02-05,56
2023-01-29,75
2023-01-22,75
2023-01-15,65
2023-01-08,78
2023-01-01,66
2022-12-25,96
2022-12-18,59
2022-12-11,64
2022-12-04,66
2022-11-27,67
2022-11-20,100
2022-11-13,54
