Semaine,Value
2023-11-05,30
2023-10-29,77
2023-10-22,72
2023-10-15,35
2023-10-08,33
2023-10-01,33
2023-09-24,29
2023-09-17,30
2023-09-10,37
2023-09-03,32
2023-08-27,40
2023-08-20,54
2023-08-13,69
2023-08-06,48
2023-07-30,43
2023-07-23,29
2023-07-16,25
2023-07-09,47
2023-07-02,52
2023-06-25,56
2023-06-18,95
2023-06-11,48
2023-06-04,39
2023-05-28,51
2023-05-21,94
2023-05-14,42
2023-05-07,36
2023-04-30,88
2023-04-23,58
2023-04-16,43
2023-04-09,31
2023-04-02,31
2023-03-26,29
2023-03-19,36
2023-03-12,38
2023-03-05,53
2023-02-26,100
2023-02-19,55
2023-02-12,35
2023-02-05,30
2023-01-29,32
2023-01-22,32
2023-01-15,37
2023-01-08,38
2023-01-01,37
2022-12-25,45
2022-12-18,37
2022-12-11,30
2022-12-04,35
2022-11-27,30
2022-11-20,28
