Semaine,Value
2023-10-29,100
2023-10-22,0
2023-10-15,11
2023-10-08,11
2023-10-01,20
2023-09-24,7
2023-09-17,22
2023-09-10,0
2023-09-03,14
2023-08-27,13
2023-08-20,23
2023-08-13,12
2023-08-06,13
2023-07-30,0
2023-07-23,0
2023-07-16,31
2023-07-09,0
2023-07-02,15
2023-06-25,7
2023-06-18,28
2023-06-11,0
2023-06-04,13
2023-05-28,17
2023-05-21,18
2023-05-14,0
2023-05-07,10
2023-04-30,11
2023-04-23,11
2023-04-16,17
2023-04-09,0
2023-04-02,14
2023-03-26,19
2023-03-19,0
2023-03-12,19
2023-03-05,25
2023-02-26,14
2023-02-19,26
2023-02-12,10
2023-02-05,30
2023-01-29,18
2023-01-22,14
2023-01-15,20
2023-01-08,0
2023-01-01,18
2022-12-25,11
2022-12-18,22
2022-12-11,9
2022-12-04,55
2022-11-27,23
2022-11-20,7
2022-11-13,13
2022-11-06,5
