Semaine,Value
2023-11-05,4
2023-10-29,5
2023-10-22,4
2023-10-15,4
2023-10-08,5
2023-10-01,4
2023-09-24,5
2023-09-17,4
2023-09-10,5
2023-09-03,5
2023-08-27,8
2023-08-20,4
2023-08-13,5
2023-08-06,5
2023-07-30,5
2023-07-23,5
2023-07-16,5
2023-07-09,5
2023-07-02,5
2023-06-25,4
2023-06-18,4
2023-06-11,5
2023-06-04,5
2023-05-28,4
2023-05-21,4
2023-05-14,4
2023-05-07,5
2023-04-30,5
2023-04-23,5
2023-04-16,5
2023-04-09,5
2023-04-02,12
2023-03-26,5
2023-03-19,5
2023-03-12,5
2023-03-05,5
2023-02-26,5
2023-02-19,5
2023-02-12,9
2023-02-05,6
2023-01-29,8
2023-01-22,6
2023-01-15,7
2023-01-08,12
2023-01-01,8
2022-12-25,12
2022-12-18,20
2022-12-11,100
2022-12-04,5
2022-11-27,6
2022-11-20,6
2022-11-13,5
