Semaine,Value
2023-10-29,50
2023-10-22,44
2023-10-15,50
2023-10-08,43
2023-10-01,45
2023-09-24,60
2023-09-17,50
2023-09-10,49
2023-09-03,100
2023-08-27,38
2023-08-20,40
2023-08-13,39
2023-08-06,39
2023-07-30,44
2023-07-23,52
2023-07-16,61
2023-07-09,48
2023-07-02,40
2023-06-25,48
2023-06-18,80
2023-06-11,37
2023-06-04,43
2023-05-28,46
2023-05-21,39
2023-05-14,55
2023-05-07,45
2023-04-30,54
2023-04-23,46
2023-04-16,68
2023-04-09,68
2023-04-02,45
2023-03-26,43
2023-03-19,56
2023-03-12,57
2023-03-05,56
2023-02-26,59
2023-02-19,74
2023-02-12,65
2023-02-05,51
2023-01-29,51
2023-01-22,46
2023-01-15,60
2023-01-08,53
2023-01-01,59
2022-12-25,67
2022-12-18,59
2022-12-11,42
2022-12-04,43
2022-11-27,51
2022-11-20,51
2022-11-13,57
2022-11-06,43
