Semaine,Value
2023-11-05,31
2023-10-29,24
2023-10-22,37
2023-10-15,30
2023-10-08,28
2023-10-01,29
2023-09-24,35
2023-09-17,38
2023-09-10,40
2023-09-03,34
2023-08-27,35
2023-08-20,34
2023-08-13,40
2023-08-06,49
2023-07-30,49
2023-07-23,48
2023-07-16,63
2023-07-09,45
2023-07-02,57
2023-06-25,51
2023-06-18,43
2023-06-11,45
2023-06-04,47
2023-05-28,48
2023-05-21,49
2023-05-14,43
2023-05-07,44
2023-04-30,39
2023-04-23,42
2023-04-16,43
2023-04-09,46
2023-04-02,100
2023-03-26,39
2023-03-19,43
2023-03-12,38
2023-03-05,36
2023-02-26,35
2023-02-19,43
2023-02-12,42
2023-02-05,38
2023-01-29,50
2023-01-22,52
2023-01-15,39
2023-01-08,44
2023-01-01,41
2022-12-25,36
2022-12-18,32
2022-12-11,39
2022-12-04,35
2022-11-27,36
2022-11-20,66
