Semaine,Value
2023-11-05,47
2023-10-29,61
2023-10-22,58
2023-10-15,28
2023-10-08,85
2023-10-01,89
2023-09-24,70
2023-09-17,60
2023-09-10,100
2023-09-03,91
2023-08-27,42
2023-08-20,28
2023-08-13,19
2023-08-06,22
2023-07-30,75
2023-07-23,51
2023-07-16,0
2023-07-09,35
2023-07-02,34
2023-06-25,33
2023-06-18,31
2023-06-11,26
2023-06-04,81
2023-05-28,50
2023-05-21,0
2023-05-14,39
2023-05-07,48
2023-04-30,37
2023-04-23,16
2023-04-16,23
2023-04-09,16
2023-04-02,17
2023-03-26,0
2023-03-19,52
2023-03-12,13
2023-03-05,34
2023-02-26,50
2023-02-19,40
2023-02-12,0
2023-02-05,34
2023-01-29,14
2023-01-22,0
2023-01-15,21
2023-01-08,64
2023-01-01,0
2022-12-25,61
2022-12-18,53
2022-12-11,0
2022-12-04,38
2022-11-27,56
2022-11-20,49
2022-11-13,23
