Semaine,Value
2023-11-05,15
2023-10-29,14
2023-10-22,11
2023-10-15,15
2023-10-08,15
2023-10-01,17
2023-09-24,15
2023-09-17,13
2023-09-10,17
2023-09-03,26
2023-08-27,19
2023-08-20,25
2023-08-13,26
2023-08-06,36
2023-07-30,26
2023-07-23,33
2023-07-16,51
2023-07-09,26
2023-07-02,43
2023-06-25,76
2023-06-18,57
2023-06-11,19
2023-06-04,17
2023-05-28,21
2023-05-21,27
2023-05-14,21
2023-05-07,23
2023-04-30,34
2023-04-23,100
2023-04-16,26
2023-04-09,13
2023-04-02,19
2023-03-26,37
2023-03-19,24
2023-03-12,25
2023-03-05,18
2023-02-26,22
2023-02-19,84
2023-02-12,56
2023-02-05,20
2023-01-29,26
2023-01-22,27
2023-01-15,56
2023-01-08,66
2023-01-01,12
2022-12-25,17
2022-12-18,12
2022-12-11,12
2022-12-04,16
2022-11-27,12
2022-11-20,19
2022-11-13,16
