Semaine,Value
2023-10-29,41
2023-10-22,51
2023-10-15,52
2023-10-08,31
2023-10-01,51
2023-09-24,20
2023-09-17,16
2023-09-10,11
2023-09-03,38
2023-08-27,41
2023-08-20,34
2023-08-13,22
2023-08-06,18
2023-07-30,35
2023-07-23,28
2023-07-16,25
2023-07-09,39
2023-07-02,46
2023-06-25,22
2023-06-18,48
2023-06-11,22
2023-06-04,37
2023-05-28,40
2023-05-21,41
2023-05-14,38
2023-05-07,61
2023-04-30,75
2023-04-23,100
2023-04-16,73
2023-04-09,41
2023-04-02,37
2023-03-26,35
2023-03-19,44
2023-03-12,30
2023-03-05,31
2023-02-26,27
2023-02-19,38
2023-02-12,31
2023-02-05,33
2023-01-29,36
2023-01-22,43
2023-01-15,30
2023-01-08,29
2023-01-01,55
2022-12-25,60
2022-12-18,79
2022-12-11,74
2022-12-04,26
2022-11-27,40
2022-11-20,52
2022-11-13,31
