Semaine,Value
2023-10-29,0
2023-10-22,39
2023-10-15,26
2023-10-08,0
2023-10-01,0
2023-09-24,0
2023-09-17,0
2023-09-10,41
2023-09-03,91
2023-08-27,0
2023-08-20,0
2023-08-13,52
2023-08-06,0
2023-07-30,0
2023-07-23,68
2023-07-16,34
2023-07-09,100
2023-07-02,48
2023-06-25,0
2023-06-18,44
2023-06-11,0
2023-06-04,48
2023-05-28,38
2023-05-21,36
2023-05-14,0
2023-05-07,57
2023-04-30,24
2023-04-23,0
2023-04-16,85
2023-04-09,33
2023-04-02,73
2023-03-26,0
2023-03-19,26
2023-03-12,55
2023-03-05,0
2023-02-26,35
2023-02-19,0
2023-02-12,28
2023-02-05,0
2023-01-29,78
2023-01-22,0
2023-01-15,25
2023-01-08,0
2023-01-01,49
2022-12-25,0
2022-12-18,0
2022-12-11,49
2022-12-04,0
2022-11-27,48
2022-11-20,0
2022-11-13,0
2022-11-06,61
