Semaine,Value
2023-11-05,47
2023-10-29,61
2023-10-22,100
2023-10-15,58
2023-10-08,44
2023-10-01,49
2023-09-24,42
2023-09-17,54
2023-09-10,29
2023-09-03,41
2023-08-27,73
2023-08-20,38
2023-08-13,28
2023-08-06,31
2023-07-30,33
2023-07-23,42
2023-07-16,51
2023-07-09,22
2023-07-02,29
2023-06-25,17
2023-06-18,17
2023-06-11,42
2023-06-04,39
2023-05-28,31
2023-05-21,33
2023-05-14,26
2023-05-07,29
2023-04-30,36
2023-04-23,26
2023-04-16,28
2023-04-09,27
2023-04-02,15
2023-03-26,26
2023-03-19,23
2023-03-12,22
2023-03-05,13
2023-02-26,28
2023-02-19,37
2023-02-12,22
2023-02-05,6
2023-01-29,23
2023-01-22,29
2023-01-15,27
2023-01-08,32
2023-01-01,30
2022-12-25,22
2022-12-18,24
2022-12-11,19
2022-12-04,51
2022-11-27,8
2022-11-20,25
2022-11-13,17
