Semaine,Value
2023-10-29,24
2023-10-22,43
2023-10-15,50
2023-10-08,64
2023-10-01,46
2023-09-24,51
2023-09-17,52
2023-09-10,52
2023-09-03,59
2023-08-27,47
2023-08-20,54
2023-08-13,59
2023-08-06,55
2023-07-30,49
2023-07-23,53
2023-07-16,58
2023-07-09,63
2023-07-02,64
2023-06-25,69
2023-06-18,71
2023-06-11,70
2023-06-04,73
2023-05-28,80
2023-05-21,66
2023-05-14,57
2023-05-07,76
2023-04-30,70
2023-04-23,74
2023-04-16,69
2023-04-09,89
2023-04-02,82
2023-03-26,83
2023-03-19,89
2023-03-12,100
2023-03-05,98
2023-02-26,95
2023-02-19,97
2023-02-12,70
2023-02-05,89
2023-01-29,72
2023-01-22,55
2023-01-15,62
2023-01-08,67
2023-01-01,65
2022-12-25,61
2022-12-18,63
2022-12-11,63
2022-12-04,55
2022-11-27,61
2022-11-20,93
2022-11-13,55
2022-11-06,44
