Semaine,Value
2023-10-29,63
2023-10-22,32
2023-10-15,75
2023-10-08,35
2023-10-01,53
2023-09-24,37
2023-09-17,48
2023-09-10,37
2023-09-03,58
2023-08-27,36
2023-08-20,51
2023-08-13,61
2023-08-06,19
2023-07-30,13
2023-07-23,42
2023-07-16,47
2023-07-09,38
2023-07-02,23
2023-06-25,39
2023-06-18,52
2023-06-11,49
2023-06-04,47
2023-05-28,100
2023-05-21,68
2023-05-14,32
2023-05-07,54
2023-04-30,38
2023-04-23,47
2023-04-16,24
2023-04-09,44
2023-04-02,63
2023-03-26,29
2023-03-19,34
2023-03-12,45
2023-03-05,32
2023-02-26,49
2023-02-19,73
2023-02-12,60
2023-02-05,59
2023-01-29,38
2023-01-22,36
2023-01-15,61
2023-01-08,28
2023-01-01,26
2022-12-25,23
2022-12-18,31
2022-12-11,31
2022-12-04,28
2022-11-27,50
2022-11-20,16
2022-11-13,24
